id,package_name,av. rating,total_reviews,total_sentences,# IG,IG,# IS,IS,# PD,PD,# FR,FR,# O,O,App,GUI,Contents,Pricing,Feature/Functionality,Improvement,Update/Version,Resources,Security,Download,Model,Company,Other,#PD_App,PD + App,#PD_GUI,PD + GUI,#PD_Contents,PD + Contents,#PD_Pricing,PD + Pricing,#PD_Feature/Functionality,PD + Feature/Functionality,#PD_Improvement,PD + Improvement,#PD_Update/Version,PD + Update/Version,#PD_Resources,PD + Resources,#PD_Security,PD + Security,#PD_Download,PD + Download,#PD_Model,PD + Model,#PD_Company,PD + Company,#PD_Other,PD + Other,#FR_App,FR + App,#FR_GUI,FR + GUI,#FR_Contents,FR + Contents,#FR_Pricing,FR + Pricing,#FR_Feature/Functionality,FR + Feature/Functionality,#FR_Improvement,FR + Improvement,#FR_Update/Version,FR + Update/Version,#FR_Resources,FR + Resources,#FR_Security,FR + Security,#FR_Download,FR + Download,#FR_Model,FR + Model,#FR_Company,FR + Company,#FR_Other,FR + Other
157,org.thialfihar.android.apg,3.941176471,187,467,28,0.14973262,3,0.016042781,51,0.272727273,25,0.13368984,360,1.92513369,109,37,20,4,243,3,24,1,6,1,42,3,143,13,0.069518717,5,0.026737968,3,0.016042781,0,0,41,0.219251337,0,0,4,0.021390374,0,0,0,0,0,0,2,0.010695187,1,0.005347594,7,0.037433155,5,0.026737968,4,0.021390374,1,0.005347594,0,0,24,0.128342246,0,0,3,0.016042781,0,0,1,0.005347594,0,0,2,0.010695187,0,0,1,0.005347594
166,de.j4velin.systemappmover,3.64375,160,294,25,0.15625,8,0.05,37,0.23125,9,0.05625,215,1.34375,109,11,7,3,139,4,13,2,0,3,34,0,92,18,0.1125,2,0.0125,1,0.00625,1,0.00625,34,0.2125,0,0,1,0.00625,0,0,0,0,1,0.00625,7,0.04375,0,0,3,0.01875,4,0.025,0,0,1,0.00625,0,0,9,0.05625,2,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,jwtc.android.chess,3.85,40,89,8,0.2,2,0.05,8,0.2,4,0.1,67,1.675,22,8,4,6,42,8,2,0,0,0,3,0,31,2,0.05,1,0.025,1,0.025,2,0.05,6,0.15,1,0.025,1,0.025,0,0,0,0,0,0,1,0.025,0,0,0,0,1,0.025,1,0.025,0,0,0,0,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,com.moez.QKSMS,3.815789474,76,234,19,0.25,2,0.026315789,13,0.171052632,15,0.197368421,185,2.434210526,76,30,7,0,107,3,3,1,0,0,8,4,80,7,0.092105263,0,0,0,0,0,0,12,0.157894737,0,0,0,0,1,0.013157895,0,0,0,0,2,0.026315789,0,0,0,0,4,0.052631579,2,0.026315789,0,0,0,0,14,0.184210526,0,0,2,0.026315789,0,0,0,0,0,0,1,0.013157895,1,0.013157895,1,0.013157895
186,com.moez.QKSMS,3.54676259,139,383,38,0.273381295,7,0.050359712,36,0.258992806,25,0.179856115,277,1.992805755,148,83,16,3,237,3,14,3,0,4,28,9,84,16,0.115107914,11,0.079136691,1,0.007194245,0,0,30,0.215827338,0,0,3,0.021582734,0,0,0,0,0,0,5,0.035971223,4,0.028776978,2,0.014388489,6,0.043165468,7,0.050359712,4,0.028776978,0,0,23,0.165467626,1,0.007194245,1,0.007194245,0,0,0,0,0,0,6,0.043165468,0,0,1,0.007194245
197,org.michaelevans.nightmodeenabler,3.795986622,299,622,26,0.086956522,10,0.033444816,122,0.408026756,22,0.073578595,442,1.47826087,105,49,10,3,392,8,69,1,0,1,72,0,163,15,0.050167224,8,0.026755853,4,0.013377926,0,0,116,0.387959866,0,0,22,0.073578595,0,0,0,0,0,0,24,0.080267559,0,0,3,0.010033445,6,0.02006689,3,0.010033445,1,0.003344482,0,0,20,0.066889632,1,0.003344482,1,0.003344482,0,0,0,0,0,0,4,0.013377926,0,0,1,0.003344482
199,org.linphone,3.6,30,59,6,0.2,0,0,8,0.266666667,2,0.066666667,43,1.433333333,7,6,1,0,30,1,7,1,1,0,5,2,21,2,0.066666667,1,0.033333333,1,0.033333333,0,0,7,0.233333333,0,0,3,0.1,0,0,1,0.033333333,0,0,0,0,0,0,0,0,1,0.033333333,1,0.033333333,0,0,0,0,2,0.066666667,0,0,0,0,0,0,0,0,0,0,1,0.033333333,0,0,0,0
200,org.linphone,3.036363636,55,153,14,0.254545455,3,0.054545455,25,0.454545455,3,0.054545455,108,1.963636364,45,17,9,2,86,4,9,0,3,1,20,1,36,13,0.236363636,2,0.036363636,2,0.036363636,0,0,20,0.363636364,0,0,3,0.054545455,0,0,1,0.018181818,1,0.018181818,4,0.072727273,0,0,0,0,2,0.036363636,0,0,0,0,0,0,2,0.036363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.018181818
202,ru.gelin.android.sendtosd,4.037735849,53,74,4,0.075471698,1,0.018867925,7,0.132075472,0,0,62,1.169811321,23,8,3,1,33,0,2,1,0,2,6,0,24,2,0.037735849,1,0.018867925,0,0,0,0,5,0.094339623,0,0,0,0,0,0,0,0,1,0.018867925,2,0.037735849,0,0,1,0.018867925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,ru.gelin.android.sendtosd,3.238317757,642,1030,58,0.090342679,28,0.043613707,104,0.161993769,17,0.026479751,823,1.281931464,271,100,36,13,465,3,18,12,1,27,67,1,393,25,0.03894081,13,0.020249221,6,0.009345794,1,0.001557632,97,0.151090343,0,0,3,0.004672897,2,0.003115265,1,0.001557632,4,0.00623053,12,0.018691589,0,0,5,0.007788162,6,0.009345794,1,0.001557632,1,0.001557632,2,0.003115265,15,0.023364486,0,0,0,0,1,0.001557632,0,0,1,0.001557632,4,0.00623053,0,0,0,0
