id,package_name,version_code,release_date,NBI,NOC,NOM,IPM,CC,WMC,NOCH,DIT,LCOM,CBO,PPIV,APD,BSMC,WKL,LOCL,GPS,XML,NTO,NET,I/O,SQL,BMAP
1238,de.saschahlusiak.freebloks,0.5.3,June 30 2016,30348,215,1269,23.91489362,1407,8304.572093,4,3,33.32004399,0.158139535,13.10160428,2.641860465,25,0,0,0,0,0,0,6,13,5
1243,com.commit451.gitlab,2.2.5,March 20 2016,582507,5447,39725,14.66348647,30783,224500.5829,1,5,38.42365941,0.531118047,11.01485149,1.271892785,145,1,0,0,1,0,0,53,0,9
1255,com.reicast.emulator,0.r5+,December 29 2013,27623,298,2346,11.7745098,1745,13737.48322,0,1,34.45015256,0.372483221,7.181571816,0.369127517,23,0,0,0,0,0,0,4,0,0
1258,com.sam.hex,2.4.1,June 03 2013,75671,603,5182,14.60266306,4892,42040.37148,2,2,36.63049782,0.417910448,10.73049938,0.887230514,57,0,0,0,14,0,0,22,0,0
1289,com.mendhak.gpslogger,27-fdroid,March 05 2013,149783,864,7149,20.95160162,8681,71829.24653,0,1,38.10549336,0.525462963,20.15061023,4.952546296,19,0,1,0,0,9,1,49,0,0
1292,com.oakley.fon,1.5.1,November 23 2015,3855,35,177,21.77966102,212,1072.114286,1,3,60.46455939,0.0,50.47619048,2.4,3,0,0,0,0,0,2,0,0,0
1293,com.javiersantos.mlmanager,1.0.4,September 03 2015,418801,3271,28071,14.91934737,23596,202495.6637,0,1,30.76306218,0.553959034,17.7566309,2.315805564,94,1,0,0,1,0,0,135,0,9
1297,app.openconnect,1.02,September 06 2014,33391,275,1650,20.2369697,1517,9102.0,4,2,45.08962017,0.287272727,22.6762002,1.130909091,34,1,0,0,0,3,0,56,0,0
1298,app.openconnect,1.11,July 01 2015,33581,276,1661,20.21733895,1521,9153.554348,4,2,45.08850816,0.286231884,23.04568528,1.123188406,34,1,0,0,0,3,0,56,0,0
1300,com.powerpoint45.lucidbrowser,3.7,July 13 2014,82959,771,6381,13.00094029,5533,45792.57198,2,3,52.29323621,0.4461738,7.771822358,0.503242542,79,1,0,0,1,0,0,38,0,3
1304,com.emmaguy.cleanstatusbar,1.1.4,October 14 2015,165430,1701,13633,12.13452652,10323,82735.71958,1,3,48.44708483,0.47148736,8.11116497,0.465608466,77,1,0,0,1,0,0,24,0,3
1307,net.wigle.wigleandroid,2.4,August 20 2014,129121,1077,8840,14.60644796,7121,58449.06221,3,2,46.11200308,0.455896007,12.72246272,1.393686165,73,3,4,4,1,0,0,61,71,6
1308,net.wigle.wigleandroid,2.10,March 20 2016,158946,1529,12331,12.88995215,9267,74736.02158,4,2,44.80349221,0.416612165,7.684079159,0.455199477,89,3,1,2,1,0,0,60,57,4
1311,biz.gyrus.yaab,1.10.1,June 29 2014,29188,306,2276,12.82425308,1705,12681.63399,4,2,25.93434683,0.303921569,6.704545455,0.369281046,12,0,0,0,0,0,0,0,0,0
1314,apps.droidnotify,3.29.2,April 08 2013,47600,295,1262,37.71790808,2139,9150.569492,21,2,20.09094107,0.06779661,1.877934272,0.030508475,109,2,0,0,0,0,0,29,11,12
1321,com.danvelazco.fbwrapper,1.7.3,December 04 2014,74578,907,6693,11.14268639,4370,32247.42007,1,2,64.31007617,0.406835722,7.351712615,0.409040794,24,1,0,0,0,0,0,29,0,16
1322,com.danvelazco.fbwrapper,1.7.5,February 06 2015,74628,907,6700,11.13850746,4378,32340.24256,1,2,64.38335435,0.406835722,7.368859284,0.409040794,25,1,0,0,0,0,0,29,0,16
1331,net.nurik.roman.dashclock,1.6,January 27 2014,42228,385,2298,18.37597911,2685,16026.31169,0,1,82.75862069,0.516883117,8.8,0.363636364,16,2,1,0,0,0,0,4,0,4
1336,org.scoutant.blokish,3.0,November 15 2015,7269,49,240,30.2875,381,1866.122449,0,1,40.93836735,0.06122449,41.12149533,7.87755102,12,0,0,0,0,0,0,0,0,0
1337,org.wahtod.wififixer,1.0.3.5,September 03 2014,81981,773,5917,13.85516309,5879,45001.34929,1,3,40.49730934,0.501940492,9.626955475,1.196636481,44,1,0,0,1,0,0,18,7,2
1338,org.wahtod.wififixer,1.0.4,July 09 2015,91353,886,6605,13.83088569,6561,48911.29233,1,3,39.21163441,0.502257336,9.772565743,1.10496614,43,1,0,0,1,0,0,20,6,2
1339,org.wahtod.wififixer,1.0.5,June 04 2016,124906,1157,7373,16.94100095,9829,62635.45117,1,3,39.18700191,0.777009507,8.793922127,1.382022472,33,1,0,0,1,0,0,16,6,2
1340,org.androidsoft.app.permission,2.1.0,April 20 2015,45084,502,3876,11.63157895,2823,21796.70916,3,2,62.87716128,0.390438247,6.837606838,0.298804781,24,1,0,0,0,0,0,7,0,2
1344,com.ruesga.android.wallpapers.photophase,1.0.12,November 09 2014,28331,254,2075,13.65349398,1395,11396.16142,5,4,53.72083338,0.11023622,10.71823204,0.811023622,5,0,0,0,0,0,0,7,0,4
