id,package_name,version_code,release_date,cat
1363,net.minetest.minetest,0.4.14.14,May 17 2016,Casual
1364,com.seb.SLWP,1.4,May 10 2013,Personalization
1365,com.seb.SLWP,1.5,January 06 2015,Personalization
1367,naman14.timber,0.122b,October 12 2015,Music & Audio
1369,naman14.timber,0.14b,January 09 2016,Music & Audio
1408,org.torproject.android,15.0.1-RC-3-PIE,July 18 2015,Communication
1419,com.lukekorth.screennotifications,0.14.2,March 18 2016,Tools
1422,com.plusonelabs.calendar,1.9.1,August 28 2015,Productivity
1424,com.plusonelabs.calendar,1.9.3-35a0ac1,November 05 2015,Productivity
1425,org.isoron.uhabits,1.5.3,May 23 2016,Productivity
1426,org.isoron.uhabits,1.5.4,May 31 2016,Productivity
1427,org.isoron.uhabits,1.5.6,June 20 2016,Productivity
1428,com.ichi2.anki,2.5.4,January 09 2016,Education
1429,com.ichi2.anki,2.6,June 15 2016,Education
1430,com.ichi2.anki,2.6.1,July 11 2016,Education
1435,com.nolanlawson.logcat,1.4.4,April 25 2013,Tools
1436,com.nolanlawson.logcat,1.6.0,February 11 2015,Tools
1437,info.guardianproject.pixelknot,0.3.1,December 15 2013,Communication
1438,info.guardianproject.pixelknot,0.3.3,July 06 2015,Communication
1441,jp.yhonda,2.8,June 15 2015,Education
1444,ca.rmen.android.poetassistant,1.9.3,September 19 2016,Books & Reference
1464,org.kiwix.kiwixmobile,1.96,November 13 2015,Books & Reference
1465,org.kiwix.kiwixmobile,1.97,February 15 2016,Books & Reference
1468,com.opendoorstudios.ds4droid,46,January 06 2015,Games
1474,net.somethingdreadful.MAL,1.4,June 21 2014,Social
1481,com.grarak.kerneladiutor,0.9.9.2.3,December 07 2015,Tools
1482,com.grarak.kerneladiutor,0.9.9.3,January 12 2016,Tools
1483,com.grarak.kerneladiutor,0.9.9.4,February 23 2016,Tools
1487,com.mantz_it.rfanalyzer,1.12,November 30 2014,Tools
1492,com.ubergeek42.WeechatAndroid,0.10,April 18 2015,Communication
1496,org.smc.inputmethod.indic,2.0.2,June 11 2015,Tools
1497,org.smc.inputmethod.indic,2.0.4,March 26 2016,Tools
1506,com.nightshadelabs.anotherbrowser,1.2,April 08 2015,Tools
1516,org.yaaic,1.0,August 24 2012,Communication
1517,org.yaaic,1.1,April 13 2015,Communication
1526,de.j4velin.wifiAutoOff,1.6.8,December 04 2015,Tools
1527,de.j4velin.wifiAutoOff,1.6.9,May 21 2016,Tools
1528,net.sourceforge.subsonic.androidapp,4.1,January 16 2014,Music & Audio
1530,net.sourceforge.subsonic.androidapp,4.4,August 28 2014,Music & Audio
1543,com.google.zxing.client.android,4.7.3,February 16 2015,Shopping
1548,com.hobbyone.HashDroid,3.1,July 09 2013,Tools
1552,dk.nindroid.rss,3.4.23,June 24 2013,Entertainment
1558,com.mobilepearls.sokoban,1.11,January 05 2011,Games
1568,com.menny.android.anysoftkeyboard,20130919,October 06 2013,Tools
1569,com.menny.android.anysoftkeyboard,1.8.84,July 08 2016,Tools
1570,com.menny.android.anysoftkeyboard,1.8.146,September 11 2016,Tools
1579,jp.co.kayo.android.localplayer,3.37b,February 11 2013,Music & Audio
1599,tv.piratemedia.lightcontroler,1.6.1,February 21 2015,Lifestyle
1605,wb.receiptspro,2.2.1,October 27 2013,Finance
1606,wb.receiptspro,3.3.3,March 08 2015,Finance
1609,com.google.android.diskusage,3.4.2,November 13 2013,Tools
1616,at.tomtasche.reader,2.0.7,March 12 2013,Business
1627,org.cprados.wificellmanager,1.3.5,January 07 2014,Tools
1628,org.cprados.wificellmanager,1.3.6,June 30 2015,Tools
1644,com.simplemobiletools.gallery,1.20,September 08 2016,Tools
1649,com.unleashyouradventure.swaccess,014 beta,January 29 2014,Books & Reference
1650,com.unleashyouradventure.swaccess,015 beta,January 18 2015,Books & Reference
1651,de.onyxbits.textfiction,2.6,September 18 2014,Games
1657,org.evilsoft.pathfinder.reference,1.4.0,April 15 2015,Books & Reference
1664,com.gh4a,3.8.1,June 15 2015,Productivity
1666,com.koushikdutta.superuser,1.0.2.8,January 30 2014,Tools
1667,com.koushikdutta.superuser,1.0.2.9,February 05 2014,Tools
1668,com.koushikdutta.superuser,1.0.3.0,February 16 2014,Tools
1669,ca.mimic.apphangar,2.4,August 15 2014,Tools
1670,ca.mimic.apphangar,2.5.1,September 17 2014,Tools
1671,ca.mimic.apphangar,2.6,February 17 2015,Tools
1683,simple.reboot.com,4p11,January 28 2015,Tools
1710,org.montrealtransit.android,1.7.7.4,December 09 2013,Maps & Navigation
1739,com.zegoggles.smssync,1.5.8,January 17 2015,Tools
1740,com.zegoggles.smssync,1.5.9,August 02 2015,Tools
1741,com.zegoggles.smssync,1.5.10,August 22 2015,Tools
1743,net.cyclestreets,2.0.1,August 12 2013,Travel & Local
1761,com.numix.icons_circle,1.1,August 20 2014,Personalization
1762,com.numix.icons_circle,2.0.1,October 16 2014,Personalization
1763,com.numix.icons_circle,2.0.3,January 16 2015,Personalization
1768,com.google.android.stardroid,1.6.5,November 04 2013,Books & Reference
1774,com.umang.dashnotifier,0.48,November 28 2013,Personalization
1775,com.better.alarm,2.7.07,August 05 2014,Productivity
1777,com.better.alarm,2.9.01,March 30 2015,Productivity
1782,com.dozuki.ifixit,2.4.1,March 07 2014,Books & Reference
1785,com.termux,0.42,September 17 2016,Tools
1786,com.u17od.upm,1.14,December 09 2013,Tools
1796,de.ph1b.audiobook,2.7.2.1,April 01 2016,Music & Audio
1797,de.ph1b.audiobook,2.7.2.3,August 05 2016,Music & Audio
1806,com.elsdoerfer.android.autostarts,1.9.7,January 15 2015,Tools
1815,me.phh.superuser,1.0.3.3,January 21 2016,Tools
1819,com.daviancorp.android.mh4udatabase,1.08,July 07 2015,Books & Reference
1826,com.amaze.filemanager,2.0,May 26 2015,Tools
1827,com.amaze.filemanager,2.0.5,June 11 2015,Tools
1828,com.amaze.filemanager,3.0.1,August 02 2015,Tools
1834,com.Bisha.TI89EmuDonation,1.1.3c,October 17 2013,Education
1835,com.Fashion.Designer.Girls.Games,2.0,December 16 2016,Lifestyle
1836,com.Write.Pictures.App,3.0,October 31 2016,Lifestyle
1837,com.adobe.psmobile,Varies with device,December 23 2016,Photography
1838,com.adobe.psmobile,4.1 and up,February 01 2017,Photography
1848,com.aoemoji.keyboard.plugin.emojistyle.osemoji,1.0.1,December 06 2016,Lifestyle
1849,com.attidomobile.passwallet,1.40.31,July 13 2016,Travel & Local
1850,com.avuscapital.trading212,4.0 and up,January 09 2017,Finance
1852,com.babbel.mobile.android.en,5.6.5.122011,December 22 2016,Education
1853,com.babbel.mobile.android.en,5.6.6.020617,February 09 2017,Education
1854,com.benkregal.chestsimulator,1.0,December 22 2016,Entertainment
1855,com.best.photo.app.braces,2.3 and up,December 14 2016,Photography
1856,com.best.photo.app.braces,2.3 and up,February 09 2017,Photography
1857,com.bloomberg.android.plus,4.0.1.509592.5e8163f,December 20 2016,Finance
1858,com.bloomberg.android.plus,4.0.3.565446.5aa6079,February 03 2017,Finance
1859,com.bottleworks.dailymoney,0.9.8-121107-freshly,November 10 2012,Finance
1861,com.cepmuvakkit.times,3.7,March 19 2013,Lifestyle
1862,com.creaturecorp.kidscashregistergrocery,1.4.2,November 22 2016,Education
1863,com.evancharlton.mileage,3.1.1,February 04 2013,Finance
1864,com.expedia.bookings,Varies with device,January 17 2017,Travel & Local
1865,com.expedia.bookings,Varies with device,February 20 2017,Travel & Local
1867,com.flightradar24free,6.6.0,December 06 2016,Travel & Local
1868,com.frinixapps.refrainplayblackspiderman,1.0,November 08 2016,Libraries & Demo
1869,com.fusionprojects.edmodo,6.2.4,January 13 2017,Education
1870,com.fusionprojects.edmodo,6.5.0,February 16 2017,Education
1871,com.gernersis.chestsimulatorforcr,1.0,January 04 2017,Entertainment
1872,com.github.devnied.emvnfccard,4.2.4,December 30 2016,Finance
1873,com.googamaphone.typeandspeak,1.4.8,December 02 2012,Entertainment
1874,com.google.android.play.games,Varies with device,November 18 2016,Entertainment
1875,com.google.android.street,Varies with device,December 06 2016,Travel & Local
1876,com.google.android.street,Varies with device,January 24 2017,Travel & Local
1877,com.google.samples.apps.cardboarddemo,1.8,March 14 2016,Libraries & Demo
1879,com.googlecode.eyesfree.espeak,1.46.02_r8,December 14 2012,Libraries & Demo
1880,com.gpsall.n3,livemaps,December 26 2016,Libraries & Demo
1881,com.herzick.houseparty,0.9.25,January 16 2017,Social
1882,com.herzick.houseparty,0.9.28,February 16 2017,Social
1883,com.hp.android.print,4.0.1,November 09 2016,Photography
1884,com.ikea.kompis,1.2.1,November 07 2016,Lifestyle
1887,com.iqoption,3.0.0,January 12 2017,Finance
1888,com.iqoption,3.0.1,February 17 2017,Finance
1889,com.kauf.wrapmyfacefunphotoeditor,1.7,April 24 2015,Lifestyle
1890,com.km.cutpaste.util,4.2,March 24 2016,Photography
1891,com.leafdigital.kanji.android,1.0,April 16 2011,Education
1892,com.lightbox.android.camera,1.0.1,June 13 2013,Photography
1893,com.magicpen.snapphoto,3.0,September 11 2016,Photography
1894,com.moneybookers.skrillpayments,2.0.8,October 25 2016,Finance
1895,com.moneybookers.skrillpayments,2.0.9,January 25 2017,Finance
1899,com.nolanlawson.jnameconverter,1.0,March 02 2010,Entertainment
1900,com.paypal.android.p2pmobile,Varies with device,January 08 2017,Finance
1901,com.paypal.android.p2pmobile,Varies with device,February 13 2017,Finance
1902,com.powerje.nyan,1.8.2,April 23 2013,Entertainment
1903,com.pridestar.floatimages,1.1,August 27 2016,Entertainment
1904,com.reader.otg,3.0,December 12 2016,Libraries & Demo
1906,com.rj.pixelesque,1.2.01,February 24 2012,Photography
1907,com.ryanair.cheapflights,3.27,January 10 2017,Travel & Local
1908,com.ryanair.cheapflights,3.28.1,February 09 2017,Travel & Local
1909,com.scorp,2.1.1,January 18 2017,Social
1911,com.secretdiaryappfree,1.19.19,December 19 2016,Lifestyle
1912,com.secretdiaryappfree,1.21.21,February 16 2017,Lifestyle
1913,com.sigseg.android.worldmap,2.0.2,September 27 2013,Education
1914,com.snapchat.android,9.45.10.0,January 10 2017,Social
1915,com.snapchat.android,10.2.1.0,February 17 2017,Social
